epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,14876.4,0.45436,0.35058,0.86323,0.97957,0.98249,0.99414,0.95043,0.30531,0.23558,0.80709,0.00101,0.00101,0.00101
152,14932,0.47158,0.35458,0.88076,0.98345,0.97418,0.99248,0.94204,0.31239,0.24985,0.80767,0.0010034,0.0010034,0.0010034
153,14988,0.45907,0.34059,0.8643,0.99581,0.97493,0.99395,0.94899,0.29816,0.25168,0.79989,0.0009968,0.0009968,0.0009968
154,15044.1,0.45422,0.33486,0.87463,0.99007,0.96311,0.99157,0.94719,0.29711,0.24631,0.80347,0.0009902,0.0009902,0.0009902
155,15099.7,0.43081,0.32686,0.86095,0.98166,0.97541,0.99079,0.95134,0.30012,0.25904,0.80297,0.0009836,0.0009836,0.0009836
156,15155.2,0.43711,0.33953,0.85993,0.98346,0.97501,0.99198,0.95722,0.29189,0.25522,0.8017,0.000977,0.000977,0.000977
157,15210.7,0.42294,0.32337,0.85791,0.98333,0.96709,0.99179,0.94998,0.29671,0.25565,0.79616,0.0009704,0.0009704,0.0009704
158,15266.6,0.42399,0.34156,0.86173,0.97794,0.97131,0.99123,0.95174,0.2902,0.26534,0.80057,0.0009638,0.0009638,0.0009638
159,15322.3,0.40567,0.32601,0.85084,0.98345,0.97418,0.99142,0.95132,0.28521,0.26005,0.79715,0.0009572,0.0009572,0.0009572
160,15377.5,0.46244,0.35605,0.87665,0.98719,0.97541,0.99238,0.95097,0.28808,0.25281,0.797,0.0009506,0.0009506,0.0009506
161,15433.5,0.44336,0.34218,0.86399,0.98808,0.97131,0.99311,0.9519,0.30338,0.25392,0.79615,0.000944,0.000944,0.000944
162,15489.3,0.44089,0.33896,0.85788,0.97967,0.9874,0.99359,0.96171,0.27466,0.24491,0.79029,0.0009374,0.0009374,0.0009374
163,15544.8,0.4403,0.34306,0.86343,0.99481,0.96721,0.99359,0.9644,0.27492,0.23969,0.7926,0.0009308,0.0009308,0.0009308
164,15600.1,0.44383,0.32575,0.86239,0.9744,0.97541,0.9929,0.95534,0.27213,0.23698,0.79498,0.0009242,0.0009242,0.0009242
165,15655.1,0.44234,0.34274,0.8618,0.97123,0.96857,0.99179,0.95697,0.27689,0.24761,0.79642,0.0009176,0.0009176,0.0009176
166,15710.5,0.44158,0.33402,0.87209,0.97314,0.96311,0.99198,0.95247,0.29038,0.25454,0.79671,0.000911,0.000911,0.000911
167,15765.7,0.4308,0.32648,0.85922,0.99161,0.9691,0.99318,0.96188,0.27001,0.24187,0.78969,0.0009044,0.0009044,0.0009044
168,15821.7,0.41792,0.32648,0.85795,0.99453,0.96721,0.99305,0.9528,0.29739,0.25106,0.79324,0.0008978,0.0008978,0.0008978
169,15876.9,0.43781,0.32269,0.86789,0.98824,0.97131,0.99312,0.96487,0.27834,0.2488,0.79347,0.0008912,0.0008912,0.0008912
170,15932,0.45735,0.33911,0.86846,0.98224,0.96721,0.99197,0.9581,0.27284,0.25274,0.79075,0.0008846,0.0008846,0.0008846
171,15988,0.43461,0.31974,0.85834,0.98744,0.96653,0.99217,0.95922,0.26863,0.25483,0.79197,0.000878,0.000878,0.000878
172,16043.2,0.42702,0.33376,0.85202,0.98754,0.97428,0.99368,0.9627,0.26538,0.24005,0.78992,0.0008714,0.0008714,0.0008714
173,16098.5,0.40591,0.32041,0.85006,0.98763,0.98195,0.99423,0.95694,0.27325,0.23116,0.78948,0.0008648,0.0008648,0.0008648
174,16153.7,0.42468,0.32589,0.85617,0.97939,0.97395,0.99134,0.95585,0.287,0.24721,0.79951,0.0008582,0.0008582,0.0008582
175,16209.5,0.43985,0.33556,0.85377,0.97084,0.98361,0.99274,0.96112,0.28767,0.24724,0.7997,0.0008516,0.0008516,0.0008516
176,16267.8,0.44634,0.34845,0.85357,0.98759,0.97874,0.99427,0.96534,0.26635,0.23407,0.79088,0.000845,0.000845,0.000845
177,16323.4,0.41437,0.31571,0.86072,0.95394,0.97951,0.99205,0.96075,0.27625,0.25708,0.79489,0.0008384,0.0008384,0.0008384
178,16378.8,0.44452,0.33729,0.86707,0.98743,0.96593,0.99223,0.96139,0.27658,0.24954,0.79485,0.0008318,0.0008318,0.0008318
179,16434.7,0.42019,0.33134,0.86037,0.9917,0.97884,0.99195,0.94572,0.31815,0.25401,0.80113,0.0008252,0.0008252,0.0008252
180,16490.7,0.45595,0.35396,0.87808,0.97964,0.98586,0.99247,0.95806,0.2742,0.24367,0.7943,0.0008186,0.0008186,0.0008186
181,16546.7,0.41593,0.32219,0.85301,0.98001,0.98361,0.99339,0.95424,0.28652,0.25404,0.79235,0.000812,0.000812,0.000812
